reporter_name,person_involved,incident_date,incident_time,department,incident_description,location,label,was_injured,injury_description
Spencer Lee,Jordan Murray,22 November 2024,05:05,Facilities,"Worker fell from scaffolding while welding, resulting in burns.",Fleet Garage,Accident,Yes,Burn from hot welding equipment
Taylor Johnson,Riley Foster,09 September 2024,15:37,HR,"forklift malfunction caused a steel beam to drop, injuring two workers.",Shipyard Pier,Accident,Yes,Foreign object in eye from grinding debris
Emerson Sullivan,Jordan Kennedy,22 February 2024,22:57,Fleet Management,"crane malfunction caused a fuel leak, injuring two workers.",Main Gate Security,Accident,Yes,Burn from hot welding equipment
Blake Smith,Charlie Holmes,22 February 2025,04:17,Customer Service,"Worker fell from ladder while painting, resulting in a fractured leg.",Engineering Workshop,Accident,Yes,Compressed air injury during maintenance
Elliot Pearson,Morgan West,20 May 2024,03:20,Research & Development,"Worker fell from ladder while repairing the hull, resulting in burns.",Main Gate Security,Accident,Yes,Foreign object in eye from grinding debris
Sawyer Murphy,Harper Morgan,03 March 2025,12:43,Dockyard Operations,"crane malfunction caused a fuel leak, injuring the operator.",Office - Admin Block,Accident,Yes,Foreign object in eye from grinding debris
Morgan Lewis,Jesse Davis,11 June 2025,14:13,Ship Maintenance,"Worker fell from scaffolding while painting, resulting in concussion.",Maintenance Shed,Accident,Yes,Eye irritation from chemical fumes
Jordan Smith,Morgan Sullivan,08 February 2025,16:07,Communications,"grinder malfunction caused a fuel leak, injuring the operator.",Warehouse A,Accident,Yes,Severe abrasion from slip on deck
Quinn Allen,Sawyer Holmes,27 June 2025,14:17,Training & Development,Exposure to asbestos led to concussion.,Shipyard Pier,Accident,Yes,Concussion from falling object
Finley Bailey,Taylor Clark,14 May 2024,03:37,Training & Development,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Engineering Workshop,Accident,Yes,Trip hazard fall resulting in bruising
Frankie Ward,Blake Ward,21 March 2025,14:42,Warehouse,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Main Gate Security,Accident,Yes,Eye irritation from chemical fumes
Kai Murphy,Spencer Brown,20 August 2024,13:02,Customer Service,Exposure to asbestos led to burns.,Office - Admin Block,Accident,Yes,Trip hazard fall resulting in bruising
Reese Parker,Dakota Brown,22 August 2024,03:03,Fleet Management,Exposure to high-voltage wiring led to burns.,Electrical Bay,Accident,Yes,Trip hazard fall resulting in bruising
Drew Johnson,Emerson Smith,12 June 2024,16:23,Quality Assurance,"Worker fell from ladder while painting, resulting in a fractured leg.",Shipyard Pier,Accident,Yes,Smoke inhalation from fire in electrical bay
Avery Pearson,Finley Allen,17 July 2024,15:29,Security,"Worker fell from ladder while painting, resulting in a fractured leg.",IT Server Room,Accident,Yes,Fractured ankle due to fall from scaffolding
Elliot Morgan,Avery Brown,22 March 2025,09:37,Fleet Management,Exposure to high-voltage wiring led to a fractured leg.,Maintenance Shed,Accident,Yes,Electric shock from faulty wiring
Sydney Johnson,Drew Murray,21 June 2025,06:35,Quality Assurance,"grinder malfunction caused electrical fire, injuring a contractor.",Office - Admin Block,Accident,Yes,Smoke inhalation from fire in electrical bay
Riley Murray,Riley Lewis,03 July 2024,23:19,Dockyard Operations,Exposure to asbestos led to burns.,Maintenance Shed,Accident,Yes,Burn from hot welding equipment
Jamie Brown,Riley Sullivan,17 August 2025,21:37,Research & Development,Exposure to asbestos led to concussion.,Dockyard North,Accident,Yes,Severe abrasion from slip on deck
Dakota Brown,Reese Robinson,20 March 2025,08:43,Legal,Exposure to high-voltage wiring led to concussion.,Reception Area,Accident,Yes,Concussion from falling object
Spencer Foster,Riley Johnson,16 February 2025,04:31,IT,"grinder malfunction caused a fuel leak, injuring two workers.",Shipyard Pier,Accident,Yes,Compressed air injury during maintenance
Spencer Hughes,Drew Bailey,29 October 2024,00:15,Dockyard Operations,Exposure to toxic fumes led to concussion.,Cafeteria,Accident,Yes,Fractured ankle due to fall from scaffolding
Reese Johnson,Cameron Sullivan,02 February 2025,13:31,Facilities,"Worker fell from ship deck while welding, resulting in concussion.",Tool Crib,Accident,Yes,Foreign object in eye from grinding debris
Drew Kennedy,Taylor Ward,09 May 2025,08:12,Fleet Management,Exposure to asbestos led to burns.,Dockyard North,Accident,Yes,Puncture wound from misplaced tool
Drew Foster,Skyler Brown,12 May 2025,06:50,Facilities,Exposure to toxic fumes led to concussion.,IT Server Room,Accident,Yes,Puncture wound from misplaced tool
Kai Fisher,Peyton Sullivan,07 January 2025,15:03,Ship Maintenance,Exposure to high-voltage wiring led to burns.,Maintenance Shed,Accident,Yes,Smoke inhalation from fire in electrical bay
Avery Payne,Dakota Hughes,17 April 2024,01:17,Environmental Services,"crane malfunction caused a fuel leak, injuring the operator.",IT Server Room,Accident,Yes,Hearing damage from loud machinery
Finley Holmes,Finley Smith,02 March 2025,18:48,Training & Development,Exposure to high-voltage wiring led to concussion.,Warehouse B,Accident,Yes,Compressed air injury during maintenance
Alex Davis,Jesse Foster,01 April 2025,05:14,Ship Maintenance,"grinder malfunction caused a steel beam to drop, injuring two workers.",Reception Area,Accident,Yes,Laceration from sharp metal panel
Riley Allen,Charlie Foster,06 March 2024,07:59,Finance,Exposure to asbestos led to concussion.,Dockyard North,Accident,Yes,Back strain from improper lifting
Jamie Fisher,Sawyer Payne,06 June 2024,09:48,IT,"grinder malfunction caused a steel beam to drop, injuring a contractor.",Warehouse B,Accident,Yes,Laceration from sharp metal panel
Sawyer West,Jordan Bennett,22 January 2024,16:19,Legal,Exposure to high-voltage wiring led to a fractured leg.,Shipyard Pier,Accident,Yes,Eye irritation from chemical fumes
Charlie Payne,Casey Davis,27 April 2024,08:12,Legal,"Worker fell from ladder while repairing the hull, resulting in concussion.",Shipyard Pier,Accident,Yes,Heat exhaustion from prolonged outdoor work
Quinn Smith,Skyler Bailey,03 May 2025,16:19,Legal,"crane malfunction caused electrical fire, injuring the operator.",Dockyard North,Accident,Yes,Crush injury to hand from hydraulic press
Chris Robinson,Skyler Bailey,07 May 2024,12:07,Communications,Exposure to toxic fumes led to concussion.,Dockyard North,Accident,Yes,Concussion from falling object
Drew Johnson,Jesse Reed,28 March 2024,19:13,Security,"Worker fell from ladder while painting, resulting in burns.",Tool Crib,Accident,Yes,Dislocated shoulder during equipment maintenance
Rowan Brown,Spencer Robinson,27 July 2025,01:48,Engineering,Exposure to asbestos led to concussion.,Fleet Garage,Accident,Yes,Fractured wrist from fall on wet surface
Logan Walker,Cameron Johnson,03 March 2025,20:17,Ship Maintenance,Exposure to high-voltage wiring led to concussion.,Fuel Depot,Accident,Yes,Hearing damage from loud machinery
Sydney Sullivan,Chris Mitchell,02 December 2024,21:41,Finance,"forklift malfunction caused a fuel leak, injuring a contractor.",Electrical Bay,Accident,Yes,Puncture wound from misplaced tool
Jordan Graham,Emerson Foster,28 November 2024,15:50,Ship Maintenance,Exposure to asbestos led to a fractured leg.,Dockyard South,Accident,Yes,Severe abrasion from slip on deck
Skyler West,Jamie Lewis,08 May 2025,05:31,Legal,Exposure to asbestos led to a fractured leg.,IT Server Room,Accident,Yes,Severe abrasion from slip on deck
Cameron Foster,Casey Holmes,17 October 2024,07:52,Procurement,Exposure to high-voltage wiring led to concussion.,Training Room,Accident,Yes,Puncture wound from misplaced tool
Finley Smith,Peyton Sullivan,03 November 2024,22:37,Customer Service,"forklift malfunction caused a fuel leak, injuring two workers.",Dry Dock 2,Accident,Yes,Concussion from falling object
Casey Allen,Rowan Murray,15 August 2025,02:19,Customer Service,Exposure to toxic fumes led to concussion.,Dry Dock 2,Accident,Yes,Fractured wrist from fall on wet surface
Finley Walker,Charlie Allen,14 January 2024,21:48,Health & Safety,"Worker fell from scaffolding while painting, resulting in a fractured leg.",Reception Area,Accident,Yes,Hearing damage from loud machinery
Rowan Kennedy,Jordan Cooper,24 April 2025,11:37,Engineering,"forklift malfunction caused a fuel leak, injuring the operator.",Warehouse B,Accident,Yes,Concussion from falling object
Chris Cooper,Cameron Allen,13 April 2024,09:26,Dockyard Operations,Exposure to high-voltage wiring led to concussion.,Warehouse B,Accident,Yes,Burn from hot welding equipment
Jamie Mitchell,Sawyer Hughes,29 April 2025,08:57,Training & Development,"Worker fell from ladder while welding, resulting in concussion.",Warehouse B,Accident,Yes,Trip hazard fall resulting in bruising
Taylor Ward,Chris Fisher,05 July 2024,08:52,Environmental Services,Exposure to high-voltage wiring led to concussion.,Electrical Bay,Accident,Yes,Trip hazard fall resulting in bruising
Elliot Mitchell,Blake Cooper,05 August 2024,03:48,Engineering,"forklift malfunction caused a fuel leak, injuring two workers.",Maintenance Shed,Accident,Yes,Puncture wound from misplaced tool
Jamie Smith,Jamie Kennedy,04 March 2025,17:32,HR,"Worker fell from ladder while painting, resulting in concussion.",Fleet Garage,Accident,Yes,Fractured wrist from fall on wet surface
Kai Bailey,Charlie Davis,06 April 2024,06:29,Fleet Management,"crane malfunction caused a fuel leak, injuring the operator.",Dry Dock 1,Accident,Yes,Chemical burn from solvent exposure
Sawyer Lee,Rowan Foster,29 March 2024,17:42,Ship Maintenance,"Worker fell from ladder while painting, resulting in burns.",Dockyard South,Accident,Yes,Fractured wrist from fall on wet surface
Cameron Foster,Rowan Cooper,09 October 2024,21:39,Quality Assurance,Exposure to asbestos led to a fractured leg.,Maintenance Shed,Accident,Yes,Concussion from falling object
Sydney Graham,Taylor Morgan,12 July 2024,06:23,Communications,"Worker fell from ladder while repairing the hull, resulting in burns.",Maintenance Shed,Accident,Yes,Burn from hot welding equipment
Jesse Graham,Sawyer Walker,05 November 2024,16:30,Engineering,Exposure to asbestos led to burns.,IT Server Room,Accident,Yes,Burn from hot welding equipment
Taylor Bennett,Skyler Murray,25 May 2024,04:07,Procurement,"Worker fell from ladder while welding, resulting in a fractured leg.",Office - Admin Block,Accident,Yes,Concussion from falling object
Reese Fisher,Emerson Mitchell,30 July 2024,04:11,Procurement,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Dry Dock 2,Accident,Yes,Fractured wrist from fall on wet surface
Elliot Murray,Casey Foster,03 February 2024,21:49,Environmental Services,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Shipyard Pier,Accident,Yes,Chemical burn from solvent exposure
Kai Kennedy,Logan Parker,15 March 2024,15:40,Environmental Services,"Worker fell from scaffolding while painting, resulting in concussion.",Warehouse B,Accident,Yes,Foreign object in eye from grinding debris
Riley Foster,Frankie West,23 January 2025,15:40,IT,"crane malfunction caused a steel beam to drop, injuring two workers.",Tool Crib,Accident,Yes,Foreign object in eye from grinding debris
Drew Lee,Charlie Robinson,15 September 2025,21:29,Security,"grinder malfunction caused a fuel leak, injuring a contractor.",Shipyard Pier,Accident,Yes,Hearing damage from loud machinery
Rowan Ward,Taylor Holmes,14 October 2024,21:35,Finance,"Worker fell from ship deck while painting, resulting in concussion.",Maintenance Shed,Accident,Yes,Fractured ankle due to fall from scaffolding
Chris Holmes,Sydney Murphy,20 March 2025,23:21,Ship Maintenance,"grinder malfunction caused a fuel leak, injuring two workers.",Fleet Garage,Accident,Yes,Electric shock from faulty wiring
Finley Foster,Finley Cooper,01 April 2024,19:19,Finance,"forklift malfunction caused a fuel leak, injuring a contractor.",Cafeteria,Accident,Yes,Hearing damage from loud machinery
Rowan Cooper,Avery Bailey,15 March 2025,16:00,Facilities,"forklift malfunction caused a steel beam to drop, injuring the operator.",Dry Dock 1,Accident,Yes,Chemical burn from solvent exposure
Avery Murphy,Casey Bennett,26 January 2024,22:33,Fleet Management,Exposure to asbestos led to concussion.,Engineering Workshop,Accident,Yes,Burn from hot welding equipment
