text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"forklift malfunction caused a steel beam to drop, injuring two workers. On 09 September 2024 at 15:37, an incident occurred at Shipyard Pier. Foreign object in eye from grinding debris The incident was reported by Taylor Johnson. Riley Foster from the HR department was involved."
"On 22 February 2024 at 22:57, an incident occurred at Main Gate Security. Jordan Kennedy from the Fleet Management department was involved. The incident was reported by Emerson Sullivan. Burn from hot welding equipment crane malfunction caused a fuel leak, injuring two workers."
"The incident was reported by Blake Smith. Charlie Holmes from the Customer Service department was involved. Compressed air injury during maintenance On 22 February 2025 at 04:17, an incident occurred at Engineering Workshop. Worker fell from ladder while painting, resulting in a fractured leg."
"Morgan West from the Research & Development department was involved. Worker fell from ladder while repairing the hull, resulting in burns. Foreign object in eye from grinding debris The incident was reported by Elliot Pearson. On 20 May 2024 at 03:20, an incident occurred at Main Gate Security."
"Harper Morgan from the Dockyard Operations department was involved. crane malfunction caused a fuel leak, injuring the operator. Foreign object in eye from grinding debris On 03 March 2025 at 12:43, an incident occurred at Office - Admin Block. The incident was reported by Sawyer Murphy."
"Worker fell from scaffolding while painting, resulting in concussion. Jesse Davis from the Ship Maintenance department was involved. The incident was reported by Morgan Lewis. On 11 June 2025 at 14:13, an incident occurred at Maintenance Shed. Eye irritation from chemical fumes"
"The incident was reported by Jordan Smith. grinder malfunction caused a fuel leak, injuring the operator. Morgan Sullivan from the Communications department was involved. On 08 February 2025 at 16:07, an incident occurred at Warehouse A. Severe abrasion from slip on deck"
"On 27 June 2025 at 14:17, an incident occurred at Shipyard Pier. Sawyer Holmes from the Training & Development department was involved. Concussion from falling object Exposure to asbestos led to concussion. The incident was reported by Quinn Allen."
"Worker fell from ladder while repairing the hull, resulting in a fractured leg. Trip hazard fall resulting in bruising On 14 May 2024 at 03:37, an incident occurred at Engineering Workshop. Taylor Clark from the Training & Development department was involved. The incident was reported by Finley Bailey."
"Eye irritation from chemical fumes Blake Ward from the Warehouse department was involved. The incident was reported by Frankie Ward. Worker fell from scaffolding while repairing the hull, resulting in burns. On 21 March 2025 at 14:42, an incident occurred at Main Gate Security."
"Exposure to asbestos led to burns. Spencer Brown from the Customer Service department was involved. On 20 August 2024 at 13:02, an incident occurred at Office - Admin Block. The incident was reported by Kai Murphy. Trip hazard fall resulting in bruising"
"On 22 August 2024 at 03:03, an incident occurred at Electrical Bay. Trip hazard fall resulting in bruising Dakota Brown from the Fleet Management department was involved. Exposure to high-voltage wiring led to burns. The incident was reported by Reese Parker."
"Worker fell from ladder while painting, resulting in a fractured leg. On 12 June 2024 at 16:23, an incident occurred at Shipyard Pier. Smoke inhalation from fire in electrical bay The incident was reported by Drew Johnson. Emerson Smith from the Quality Assurance department was involved."
"Worker fell from ladder while painting, resulting in a fractured leg. On 17 July 2024 at 15:29, an incident occurred at IT Server Room. Finley Allen from the Security department was involved. Fractured ankle due to fall from scaffolding The incident was reported by Avery Pearson."
"Exposure to high-voltage wiring led to a fractured leg. Electric shock from faulty wiring Avery Brown from the Fleet Management department was involved. On 22 March 2025 at 09:37, an incident occurred at Maintenance Shed. The incident was reported by Elliot Morgan."
"On 21 June 2025 at 06:35, an incident occurred at Office - Admin Block. Drew Murray from the Quality Assurance department was involved. grinder malfunction caused electrical fire, injuring a contractor. The incident was reported by Sydney Johnson. Smoke inhalation from fire in electrical bay"
"The incident was reported by Riley Murray. On 03 July 2024 at 23:19, an incident occurred at Maintenance Shed. Burn from hot welding equipment Exposure to asbestos led to burns. Riley Lewis from the Dockyard Operations department was involved."
"Severe abrasion from slip on deck The incident was reported by Jamie Brown. On 17 August 2025 at 21:37, an incident occurred at Dockyard North. Exposure to asbestos led to concussion. Riley Sullivan from the Research & Development department was involved."
"Exposure to high-voltage wiring led to concussion. Reese Robinson from the Legal department was involved. The incident was reported by Dakota Brown. Concussion from falling object On 20 March 2025 at 08:43, an incident occurred at Reception Area."
"Riley Johnson from the IT department was involved. On 16 February 2025 at 04:31, an incident occurred at Shipyard Pier. Compressed air injury during maintenance The incident was reported by Spencer Foster. grinder malfunction caused a fuel leak, injuring two workers."
"The incident was reported by Spencer Hughes. Fractured ankle due to fall from scaffolding Drew Bailey from the Dockyard Operations department was involved. Exposure to toxic fumes led to concussion. On 29 October 2024 at 00:15, an incident occurred at Cafeteria."
"On 02 February 2025 at 13:31, an incident occurred at Tool Crib. Cameron Sullivan from the Facilities department was involved. Worker fell from ship deck while welding, resulting in concussion. The incident was reported by Reese Johnson. Foreign object in eye from grinding debris"
"On 09 May 2025 at 08:12, an incident occurred at Dockyard North. Exposure to asbestos led to burns. Puncture wound from misplaced tool The incident was reported by Drew Kennedy. Taylor Ward from the Fleet Management department was involved."
"Skyler Brown from the Facilities department was involved. Exposure to toxic fumes led to concussion. Puncture wound from misplaced tool The incident was reported by Drew Foster. On 12 May 2025 at 06:50, an incident occurred at IT Server Room."
"Exposure to high-voltage wiring led to burns. Peyton Sullivan from the Ship Maintenance department was involved. On 07 January 2025 at 15:03, an incident occurred at Maintenance Shed. The incident was reported by Kai Fisher. Smoke inhalation from fire in electrical bay"
"The incident was reported by Avery Payne. crane malfunction caused a fuel leak, injuring the operator. Dakota Hughes from the Environmental Services department was involved. Hearing damage from loud machinery On 17 April 2024 at 01:17, an incident occurred at IT Server Room."
"The incident was reported by Finley Holmes. Exposure to high-voltage wiring led to concussion. On 02 March 2025 at 18:48, an incident occurred at Warehouse B. Compressed air injury during maintenance Finley Smith from the Training & Development department was involved."
"grinder malfunction caused a steel beam to drop, injuring two workers. On 01 April 2025 at 05:14, an incident occurred at Reception Area. Jesse Foster from the Ship Maintenance department was involved. The incident was reported by Alex Davis. Laceration from sharp metal panel"
"Exposure to asbestos led to concussion. On 06 March 2024 at 07:59, an incident occurred at Dockyard North. Charlie Foster from the Finance department was involved. The incident was reported by Riley Allen. Back strain from improper lifting"
"Laceration from sharp metal panel On 06 June 2024 at 09:48, an incident occurred at Warehouse B. The incident was reported by Jamie Fisher. grinder malfunction caused a steel beam to drop, injuring a contractor. Sawyer Payne from the IT department was involved."
"Jordan Bennett from the Legal department was involved. Eye irritation from chemical fumes Exposure to high-voltage wiring led to a fractured leg. On 22 January 2024 at 16:19, an incident occurred at Shipyard Pier. The incident was reported by Sawyer West."
"The incident was reported by Charlie Payne. On 27 April 2024 at 08:12, an incident occurred at Shipyard Pier. Worker fell from ladder while repairing the hull, resulting in concussion. Casey Davis from the Legal department was involved. Heat exhaustion from prolonged outdoor work"
